sentence|sentiment|chapter|book|spells|characters|groups
  “Promise me, Harry,” said Mr Weasley, talking more  quickly still, “that whatever happens — ”  “Why would I go looking for someone I know wants to  kill me?” said Harry blankly|-0.6908|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Arthur Weasley'}|"{'Golden Trio', 'Order of the Phoenix', 'Ministry', 'Weasley Family', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  “Swear to me that whatever you might hear — ”  “Arthur, quickly!” cried Mrs Weasley|-0.4389|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Arthur Weasley', 'Molly Weasley'}|{'Ministry', 'Weasley Family', 'Order of the Phoenix'}
  Steam was billowing from the train; it had started to  move|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Harry ran to the compartment door and Ron  threw it open and stood back to let him on|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 They  leaned out of the window and waved at Mr and Mrs  Weasley until the train turned a corner and blocked  them from view|-0.2732|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  “I need to talk to you in private,” Harry muttered to  Ron and Hermione as the train picked up speed|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  “Go away, Ginny,” said Ron|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ginny Weasley', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  “Oh, that’s nice,” said Ginny huffily, and she stalked  off|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ginny Weasley'}|"{'Gryffindor', ""Dumbledore's Army"", 'Gryffindor Quidditch', 'Weasley Family'}"
  Harry, Ron, and Hermione set off down the corridor,  looking for an empty compartment, but all were full  except for the one at the very end of the train|-0.1027|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  This had only one occupant, a man sitting fast asleep  next to the window|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Harry, Ron, and Hermione  checked on the threshold|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 The Hogwarts Express was  usually reserved for students and they had never seen  an adult there before, except for the witch who  pushed the food cart|-0.3612|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  The stranger was wearing an extremely shabby set of  wizard’s robes that had been darned in several places|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  He looked ill and exhausted|-0.6486|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Though quite young, his  light brown hair was flecked with gray|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  “Who d’you reckon he is?” Ron hissed as they sat  down and slid the door shut, taking the seats farthest  away from the window|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  “Professor R|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 J|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Lupin,” whispered Hermione at once|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Remus Lupin', 'Hermione Granger'}|"{'Golden Trio', 'Order of the Phoenix', 'Teacher', 'Marauders', 'Gryffindor', 'Prefect', ""Dumbledore's Army""}"
  “How d’you know that?”  “It’s on his case,” she replied, pointing at the luggage  rack over the man’s head, where there was a small,  battered case held together with a large quantity of  neatly knotted string|0.34|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 The name Professor R|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 J|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Lupin  was stamped across one corner in peeling letters|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Remus Lupin'}|{'Teacher', 'Marauders', 'Order of the Phoenix'}
  “Wonder what he teaches?” said Ron, frowning at  Professor Lupin’s pallid profile|-0.34|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Remus Lupin', 'Ron Weasley'}|"{'Golden Trio', 'Order of the Phoenix', 'Teacher', 'Marauders', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  “That’s obvious,” whispered Hermione|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army""}"
 “There’s only  one vacancy, isn’t there? Defense Against the Dark  Arts|0.128|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
”  Harry, Ron, and Hermione had already had two  Defense Against the Dark Arts teachers, both of  whom had lasted only one year|0.128|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 There were rumors  that the job was jinxed|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  “Well, I hope he’s up to it,” said Ron doubtfully|0.1779|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 “He  looks like one good hex would finish him off, doesn’t  he? Anyway |0.6597|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
” He turned to Harry|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 “What were you  going to tell us?”  Harry explained all about Mr and Mrs Weasley’s  argument and the warning Mr Weasley had just  given him|-0.5994|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Arthur Weasley', 'Molly Weasley'}|"{'Golden Trio', 'Order of the Phoenix', 'Ministry', 'Weasley Family', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 When he’d finished, Ron looked  thunderstruck, and Hermione had her hands over her  mouth|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 She finally lowered them to say, “Sirius Black  escaped to come after you? Oh, Harry |-0.128|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Sirius Black', 'Harry Potter'}|"{'Golden Trio', 'Order of the Phoenix', 'Marauders', 'Gryffindor', ""Dumbledore's Army"", 'Black Family', 'Potter Family', 'Gryffindor Quidditch'}"
 you’ll have to  be really, really careful|0.2895|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Don’t go looking for trouble,  Harry — ”  “I don’t go looking for trouble,” said Harry, nettled|-0.4019|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  “Trouble usually finds me|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
”  “How thick would Harry have to be, to go looking for a  nutter who wants to kill him?” said Ron shakily|-0.7506|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  They were taking the news worse than Harry had  expected|-0.4767|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Both Ron and Hermione seemed to be much  more frightened of Black than he was|-0.4927|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Sirius Black', 'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Order of the Phoenix', 'Marauders', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Black Family', 'Gryffindor Quidditch'}"
  “No one knows how he got out of Azkaban,” said Ron  uncomfortably|-0.4019|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 “No one’s ever done it before|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 And he  was a top-security prisoner too|-0.5423|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
”  “But they’ll catch him, won’t they?” said Hermione  earnestly|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army""}"
 “I mean, they’ve got all the Muggles looking  out for him too|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
”  “What’s that noise?” said Ron suddenly|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  A faint, tinny sort of whistle was coming from  somewhere|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 They looked all around the compartment|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  “It’s coming from your trunk, Harry,” said Ron,  standing up and reaching into the luggage rack|0.2023|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 A  moment later he had pulled the Pocket Sneakoscope  out from between Harry’s robes|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 It was spinning very  fast in the palm of Ron’s hand and glowing brilliantly|0.802|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  “Is that a Sneakoscope?” said Hermione interestedly,  standing up for a better look|0.6597|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army""}"
  “Yeah |0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 mind you, it’s a very cheap one,” Ron said|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  “It went haywire just as I was tying it to Errol’s leg to  send it to Harry|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Errol', 'Harry Potter'}|"{'Golden Trio', 'Pet', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
”  “Were you doing anything untrustworthy at the time?”  said Hermione shrewdly|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army""}"
  “No! Well |0.3382|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 I wasn’t supposed to be using Errol|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Errol'}|{'Pet'}
 You  know he’s not really up to long journeys |0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 but how  else was I supposed to get Harry’s present to him?”  “Stick it back in the trunk,” Harry advised as the  Sneakoscope whistled piercingly, “or it’ll wake him  up|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
”  He nodded toward Professor Lupin|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Remus Lupin'}|{'Teacher', 'Marauders', 'Order of the Phoenix'}
 Ron stuffed the  Sneakoscope into a particularly horrible pair of Uncle  Vernon’s old socks, which deadened the sound, then  closed the lid of the trunk on it|-0.5849|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vernon Dursley', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Dursley Family', 'Gryffindor Quidditch'}"
  “We could get it checked in Hogsmeade,” said Ron,  sitting back down|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 “They sell that sort of thing in  Dervish and Banges, magical instruments and stuff|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  Fred and George told me|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Fred Weasley', 'George Weasley'}|"{""Dumbledore's Army"", 'Gryffindor', 'Weasley Family', 'Gryffindor Quidditch'}"
”  “Do you know much about Hogsmeade?” asked  Hermione keenly|0.25|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army""}"
 “I’ve read it’s the only entirely non-  Muggle settlement in Britain — ”  “Yeah, I think it is,” said Ron in an offhand sort of  way, “but that’s not why I want to go|-0.0572|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 I just want to  get inside Honeydukes!”  “What’s that?” said Hermione|0.1511|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army""}"
  “It’s this sweetshop,” said Ron, a dreamy look coming  over his face, “where they’ve got everything|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 Pepper  Imps — they make you smoke at the mouth — and  great fat Chocoballs full of strawberry mousse and  clotted cream, and really excellent sugar quills, which  you can suck in class and just look like you’re  thinking what to write next — ”  “But Hogsmeade’s a very interesting place, isn’t it?”  Hermione pressed on eagerly|0.9229|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Cho Chang', 'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', 'Ravenclaw Quidditch', ""Dumbledore's Army"", 'Ravenclaw'}"
 “In Sites of Historical  Sorcery it says the inn was the headquarters for the  1612 goblin rebellion, and the Shrieking Shack’s  supposed to be the most severely haunted building in  Britain — ”  “ — and massive sherbet balls that make you levitate a  few inches off the ground while you’re sucking them,”  said Ron, who was plainly not listening to a word  Hermione was saying|-0.8004|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  Hermione looked around at Harry|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  “Won’t it be nice to get out of school for a bit and  explore Hogsmeade?”  “ ’Spect it will,” said Harry heavily|0.4215|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 “You’ll have to tell  me when you’ve found out|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
”  “What d’you mean?” said Ron|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  “I can’t go|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 The Dursleys didn’t sign my permission  form, and Fudge wouldn’t either|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Cornelius Fudge'}|{'Ministry'}
”  Ron looked horrified|-0.5423|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  “You’re not allowed to come? But — no way —  McGonagall or someone will give you permission — ”  Harry gave a hollow laugh|0.4767|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Minerva McGonagall'}|"{'Golden Trio', 'Order of the Phoenix', 'Teacher', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Professor McGonagall,  head of Gryffindor House, was very strict|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Godric Gryffindor', 'Minerva McGonagall'}|{'Gryffindor', 'Teacher', 'Founder', 'Order of the Phoenix'}
  “ — or we can ask Fred and George, they know every  secret passage out of the castle — ”  “Ron!” said Hermione sharply|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Fred Weasley', 'George Weasley', 'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 “I don’t think Harry  should be sneaking out of school with Black on the  loose — ”  “Yeah, I expect that’s what McGonagall will say when  I ask for permission,” said Harry bitterly|-0.6486|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Sirius Black', 'Harry Potter', 'Minerva McGonagall'}|"{'Golden Trio', 'Order of the Phoenix', 'Teacher', 'Marauders', 'Gryffindor', ""Dumbledore's Army"", 'Black Family', 'Potter Family', 'Gryffindor Quidditch'}"
  “But if we’re with him,” said Ron spiritedly to  Hermione, “Black wouldn’t dare — ”  “Oh, Ron, don’t talk rubbish,” snapped Hermione|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Sirius Black', 'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Order of the Phoenix', 'Marauders', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Black Family', 'Gryffindor Quidditch'}"
  “Black’s already murdered a whole bunch of people in  the middle of a crowded street|-0.6597|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Sirius Black'}|{'Black Family', 'Marauders', 'Order of the Phoenix'}
 Do you really think  he’s going to worry about attacking Harry just  because we’re there?”  She was fumbling with the straps of Crookshanks’s  basket as she spoke|-0.7096|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Crookshanks'}|"{'Golden Trio', 'Pet', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  “Don’t let that thing out!” Ron said, but too late;  Crookshanks leapt lightly from the basket, stretched,  yawned, and sprang onto Ron’s knees; the lump in  Ron’s pocket trembled and he shoved Crookshanks  angrily away|-0.7678|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Crookshanks', 'Ron Weasley'}|"{'Golden Trio', 'Pet', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  “Get out of here!”  “Ron, don’t!” said Hermione angrily|-0.5242|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  Ron was about to answer back when Professor Lupin  stirred|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Remus Lupin', 'Ron Weasley'}|"{'Golden Trio', 'Order of the Phoenix', 'Teacher', 'Marauders', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 They watched him apprehensively, but he  simply turned his head the other way, mouth slightly  open, and slept on|-0.0387|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  The Hogwarts Express moved steadily north and the  scenery outside the window became wilder and darker  while the clouds overhead thickened|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 People were  chasing backward and forward past the door of their  compartment|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Crookshanks had now settled in an  empty seat, his squashed face turned toward Ron, his  yellow eyes on Ron’s top pocket|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Crookshanks', 'Ron Weasley'}|"{'Golden Trio', 'Pet', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  At one o’clock, the plump witch with the food cart  arrived at the compartment door|-0.3612|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  “D’you think we should wake him up?” Ron asked  awkwardly, nodding toward Professor Lupin|-0.3182|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Remus Lupin', 'Ron Weasley'}|"{'Golden Trio', 'Order of the Phoenix', 'Teacher', 'Marauders', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 “He  looks like he could do with some food|0.3612|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
”  Hermione approached Professor Lupin cautiously|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Remus Lupin', 'Hermione Granger'}|"{'Golden Trio', 'Order of the Phoenix', 'Teacher', 'Marauders', 'Gryffindor', 'Prefect', ""Dumbledore's Army""}"
  “Er — Professor?” she said|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 “Excuse me — Professor?”  He didn’t move|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  “Don’t worry, dear,” said the witch as she handed  Harry a large stack of Cauldron Cakes|-0.6597|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 “If he’s hungry  when he wakes, I’ll be up front with the driver|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
”  “I suppose he is asleep?” said Ron quietly as the witch  slid the compartment door closed|-0.3612|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
 “I mean — he  hasn’t died, has he?”  “No, no, he’s breathing,” whispered Hermione, taking  the Cauldron Cake Harry passed her|-0.5574|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  He might not be very good company, but Professor  Lupin’s presence in their compartment had its uses|-0.2051|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Remus Lupin'}|{'Teacher', 'Marauders', 'Order of the Phoenix'}
  Midafternoon, just as it had started to rain, blurring  the rolling hills outside the window, they heard  footsteps in the corridor again, and their three least  favorite people appeared at the door: Draco Malfoy,  flanked by his cronies, Vincent Crabbe and Gregory  Goyle|-0.357|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vincent Crabbe', 'Gregory Goyle', 'Draco Malfoy'}|{'Slytherin', 'Slytherin Quidditch', 'Inquisitorial Squad', 'Prefect'}
  Draco Malfoy and Harry had been enemies ever since  they had met on their very first train journey to  Hogwarts|-0.4939|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Draco Malfoy'}|"{'Slytherin', 'Golden Trio', 'Inquisitorial Squad', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Slytherin Quidditch', 'Potter Family', 'Gryffindor Quidditch'}"
 Malfoy, who had a pale, pointed, sneering  face, was in Slytherin House; he played Seeker on the  Slytherin Quidditch team, the same position that  Harry played on the Gryffindor team|0.5859|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Salazar Slytherin', 'Harry Potter', 'Godric Gryffindor', 'Draco Malfoy'}|"{'Slytherin', 'Golden Trio', 'Founder', 'Inquisitorial Squad', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Slytherin Quidditch', 'Potter Family', 'Gryffindor Quidditch'}"
 Crabbe and  Goyle seemed to exist to do Malfoy’s bidding|0.0|40 The Dementor  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vincent Crabbe', 'Gregory Goyle', 'Draco Malfoy'}|{'Slytherin', 'Slytherin Quidditch', 'Inquisitorial Squad', 'Prefect'}
